timestamp,usage,instance_code
2024-09-21 19:10:00,104.80883333340287,0
2024-09-21 19:20:00,104.70949999998014,0
2024-09-21 19:30:00,104.76466666656236,0
2024-09-21 19:40:00,104.86583333334576,0
2024-09-21 19:50:00,104.6483333333085,0
2024-09-21 20:00:00,104.85066666691252,0
2024-09-21 20:10:00,104.7496666665996,0
2024-09-21 20:20:00,104.78133333315452,0
2024-09-21 20:30:00,104.80399999996028,0
2024-09-21 20:40:00,104.83216666676104,0
2024-09-21 20:50:00,104.81349999999006,0
2024-09-21 21:00:00,104.86683333346,0
